customer_age,gender,contract_type,monthly_charges,tenure,support_calls,total_usage,satisfaction_score,churn
68,Female,Two Year,53.55,46,2,120,5,1
60,Male,One Year,52.23,14,7,258,4,1
54,Male,One Year,111.56,4,0,200,2,1
29,Male,Month-to-Month,52.46,30,8,191,3,1
20,Female,One Year,54.48,31,8,218,3,1
18,Female,One Year,98.35,38,9,31,2,0
50,Male,Month-to-Month,70.48,11,1,175,2,1
57,Female,One Year,99.9,35,3,108,4,1
27,Female,Month-to-Month,35.88,8,7,217,3,0
60,Female,Month-to-Month,73.88,3,6,17,3,1
61,Female,Month-to-Month,33.03,14,0,199,1,1
46,Female,Month-to-Month,35.64,13,4,184,5,0
30,Male,One Year,111.58,45,6,282,5,1
29,Female,Month-to-Month,42.53,32,3,26,1,1
48,Male,Month-to-Month,77.92,34,0,99,5,1
63,Female,One Year,67.0,45,8,150,2,1
19,Male,One Year,61.26,19,4,154,5,0
68,Female,Two Year,110.99,59,1,175,5,1
67,Male,One Year,31.96,38,7,87,1,1
52,Female,One Year,89.74,16,1,271,4,0
40,Male,Two Year,116.71,2,2,172,5,1
34,Female,One Year,80.42,40,9,23,5,1
43,Male,One Year,114.31,17,0,248,4,1
25,Female,One Year,34.7,55,1,81,1,1
46,Male,One Year,67.69,34,6,152,4,0
43,Male,Two Year,53.41,42,9,292,1,1
27,Female,One Year,95.77,16,1,278,2,1
43,Female,One Year,118.32,38,5,250,1,1
51,Male,Two Year,53.09,2,2,254,2,1
68,Female,Month-to-Month,88.88,2,3,172,2,1
58,Male,Two Year,47.83,26,7,69,1,1
24,Male,Month-to-Month,80.88,13,2,15,3,1
21,Male,Two Year,71.75,56,9,206,1,1
67,Female,Two Year,117.48,47,5,67,5,1
62,Male,One Year,84.77,31,0,226,5,1
28,Male,Month-to-Month,61.46,34,6,35,3,1
46,Female,One Year,40.27,39,7,14,2,1
53,Female,Month-to-Month,43.61,3,7,29,3,1
42,Female,Two Year,50.28,8,2,207,5,0
38,Female,Two Year,52.59,23,9,68,3,1
53,Male,Month-to-Month,106.56,14,0,251,1,1
27,Male,One Year,80.51,56,8,155,3,1
54,Male,One Year,77.11,55,5,282,2,1
26,Male,One Year,40.33,27,8,258,1,0
41,Female,One Year,107.41,54,6,23,4,1
52,Male,Two Year,95.05,29,0,22,5,0
66,Male,Two Year,36.09,39,0,53,5,0
52,Female,Two Year,93.71,53,5,28,3,1
65,Male,Two Year,78.92,39,4,72,1,1
53,Male,Two Year,37.36,1,8,248,4,1
35,Male,One Year,71.25,17,1,109,1,1
66,Male,One Year,73.62,41,7,172,5,0
56,Male,One Year,44.92,30,4,131,1,1
49,Male,One Year,115.11,53,1,53,4,1
41,Female,Two Year,106.5,13,9,154,3,1
40,Female,Two Year,90.21,21,5,59,2,1
49,Male,Two Year,71.61,19,9,74,1,1
54,Male,Month-to-Month,67.06,53,7,297,2,1
29,Female,One Year,88.59,19,3,173,5,1
66,Male,One Year,79.09,57,1,150,3,0
30,Male,Two Year,35.6,25,4,137,3,1
40,Male,One Year,76.13,22,1,248,1,1
42,Female,One Year,102.58,31,1,196,3,1
52,Male,Two Year,71.33,17,5,217,1,1
58,Female,Month-to-Month,34.68,55,9,229,1,1
47,Male,Month-to-Month,100.77,23,8,199,2,1
34,Female,Month-to-Month,48.12,32,3,293,3,1
66,Female,Two Year,53.28,10,5,246,1,1
37,Male,One Year,44.82,10,6,203,2,0
65,Female,Two Year,59.72,36,5,296,4,1
42,Male,Two Year,98.11,8,7,268,2,1
39,Female,One Year,76.74,54,3,255,2,1
30,Male,Month-to-Month,48.44,52,0,145,1,1
36,Male,Month-to-Month,109.0,20,6,289,5,1
66,Female,Two Year,109.16,32,2,280,5,0
53,Male,Month-to-Month,108.35,50,5,180,5,1
29,Male,Two Year,51.49,14,1,168,2,1
58,Female,Two Year,70.61,50,8,210,1,0
36,Male,One Year,118.65,28,0,54,3,0
29,Male,One Year,99.48,46,5,273,2,1
26,Female,One Year,32.45,52,5,80,2,1
24,Female,Two Year,35.87,53,4,112,1,1
45,Male,One Year,71.75,24,4,134,4,0
31,Male,Month-to-Month,111.83,15,0,295,2,1
48,Female,Month-to-Month,78.48,22,9,239,4,1
69,Female,Two Year,74.8,30,4,155,4,1
36,Male,Two Year,39.49,4,1,206,5,1
64,Female,One Year,89.11,13,6,230,1,1
33,Male,Two Year,103.99,59,2,69,4,0
22,Male,Two Year,64.24,23,3,107,1,1
52,Male,Month-to-Month,99.81,8,2,180,5,1
29,Male,Month-to-Month,116.8,18,2,182,1,1
42,Male,One Year,48.34,12,3,160,2,1
69,Female,Two Year,77.1,55,4,131,4,1
38,Female,Two Year,55.84,31,0,117,1,1
53,Female,Month-to-Month,101.36,14,3,13,3,1
40,Female,Two Year,81.98,34,7,102,1,1
33,Male,Month-to-Month,87.11,18,9,15,4,1
56,Male,One Year,101.81,56,6,297,5,1
62,Male,Month-to-Month,65.64,34,8,115,5,0
59,Male,Two Year,112.36,11,4,155,4,1
56,Female,One Year,77.97,41,9,280,2,1
31,Male,Month-to-Month,44.22,12,3,105,2,1
48,Male,Month-to-Month,92.63,49,7,238,5,1
22,Female,One Year,101.39,15,8,211,5,1
52,Female,One Year,58.51,57,6,221,4,0
40,Female,Month-to-Month,107.15,31,6,15,2,1
46,Female,Two Year,111.55,49,4,121,5,1
60,Male,Month-to-Month,54.92,58,3,115,2,1
28,Male,One Year,118.52,29,9,148,5,0
35,Female,Month-to-Month,42.66,26,0,105,1,1
64,Male,One Year,48.18,18,9,223,3,1
29,Male,One Year,46.58,32,9,31,1,1
26,Male,Two Year,110.46,22,6,202,5,1
27,Female,One Year,88.89,38,0,159,3,0
61,Male,One Year,43.69,17,0,256,3,0
34,Female,Two Year,69.63,23,4,276,5,0
55,Male,One Year,85.38,24,8,260,5,1
24,Male,Two Year,37.51,50,5,12,2,1
63,Male,Two Year,109.42,8,2,85,5,1
30,Female,One Year,102.32,41,2,96,4,1
57,Male,One Year,75.47,6,6,279,5,1
59,Female,Month-to-Month,117.04,5,5,234,4,1
26,Female,Two Year,67.6,44,8,27,5,0
67,Female,Month-to-Month,118.57,57,5,122,2,1
44,Male,One Year,90.11,29,4,260,4,1
19,Male,Month-to-Month,87.12,28,9,242,1,1
22,Male,Two Year,44.94,11,6,288,4,1
46,Male,Month-to-Month,109.37,57,0,211,2,1
54,Female,Two Year,68.47,1,6,92,4,1
55,Female,One Year,44.6,43,2,134,5,0
36,Female,One Year,31.13,19,8,184,5,0
25,Male,Two Year,80.38,9,5,78,2,1
65,Female,One Year,77.47,27,8,56,3,1
62,Male,One Year,94.74,34,4,265,5,1
18,Female,One Year,110.12,44,6,224,1,1
39,Male,One Year,37.15,4,3,39,2,1
69,Male,Two Year,95.83,36,6,290,4,1
34,Female,Month-to-Month,46.87,18,0,246,4,0
24,Female,Month-to-Month,107.24,15,6,257,1,1
42,Female,One Year,103.72,51,7,34,5,1
62,Female,Month-to-Month,78.67,13,4,83,2,1
21,Male,Month-to-Month,93.92,19,1,215,1,1
53,Female,One Year,58.29,49,4,103,5,0
23,Female,One Year,72.41,6,5,136,2,1
48,Female,Month-to-Month,103.95,48,1,34,4,1
36,Male,Two Year,71.33,56,5,125,2,1
61,Male,One Year,62.2,12,5,57,3,1
56,Female,Two Year,74.48,51,0,235,2,1
44,Male,Month-to-Month,104.54,37,0,275,3,1
27,Female,One Year,60.17,17,9,108,2,1
43,Male,Two Year,45.64,58,2,20,3,1
36,Male,One Year,94.08,23,9,94,4,0
56,Male,Month-to-Month,104.34,26,9,223,5,1
20,Male,Two Year,39.06,29,2,182,3,0
62,Female,Month-to-Month,51.59,33,3,218,3,1
30,Female,Month-to-Month,42.78,27,1,73,4,0
67,Female,One Year,61.31,25,8,267,3,0
45,Male,Two Year,70.53,56,9,130,1,1
37,Female,Month-to-Month,97.39,55,6,63,4,1
45,Female,Month-to-Month,88.6,10,6,281,1,1
25,Female,Two Year,85.88,47,5,250,4,1
58,Male,Month-to-Month,61.71,23,2,252,3,1
56,Male,Month-to-Month,105.73,21,5,27,1,1
18,Male,Two Year,72.42,21,7,196,3,0
20,Female,Two Year,118.12,43,7,153,4,1
30,Female,Two Year,87.07,13,8,271,3,0
45,Female,Two Year,41.36,37,0,248,1,0
66,Male,One Year,90.86,33,0,85,1,1
42,Male,Two Year,59.26,24,2,197,3,1
50,Female,One Year,91.77,44,2,255,2,1
55,Male,One Year,36.27,11,9,139,4,0
23,Male,One Year,45.74,17,7,292,4,1
61,Male,Month-to-Month,107.02,4,9,88,3,1
62,Male,One Year,50.45,47,0,81,2,1
49,Female,One Year,105.33,25,1,272,1,1
62,Male,Month-to-Month,55.13,30,1,200,5,1
64,Male,Month-to-Month,87.86,9,2,72,5,1
38,Male,Month-to-Month,92.47,21,5,21,3,1
33,Male,Two Year,76.14,20,0,150,2,1
38,Female,Month-to-Month,57.48,19,1,263,2,1
28,Female,Month-to-Month,49.14,19,0,52,4,1
54,Male,One Year,32.99,12,4,26,1,1
53,Male,Month-to-Month,57.36,37,6,72,2,1
52,Male,Two Year,88.78,42,7,262,5,1
36,Male,Month-to-Month,114.45,17,9,17,1,1
37,Male,Two Year,108.41,37,0,99,1,1
35,Male,Month-to-Month,98.95,54,6,217,3,0
64,Female,Month-to-Month,100.96,48,4,293,2,1
58,Male,Month-to-Month,89.85,39,9,127,3,1
66,Female,Month-to-Month,53.43,28,0,184,2,1
31,Female,Two Year,111.65,41,2,85,4,0
32,Male,Two Year,90.37,35,6,110,3,1
48,Female,One Year,80.44,47,9,160,3,1
18,Female,Two Year,39.99,48,0,279,5,0
20,Female,Month-to-Month,70.23,18,6,80,3,1
33,Female,One Year,71.43,14,4,189,2,1
40,Female,One Year,107.81,35,0,133,5,1
28,Female,One Year,79.2,44,0,294,3,1
29,Male,Month-to-Month,64.24,41,0,204,3,1
27,Female,Two Year,117.91,7,8,237,4,1
49,Female,Month-to-Month,39.96,41,2,284,3,1
33,Female,One Year,68.03,13,4,115,1,0
25,Male,Month-to-Month,33.78,18,9,30,5,1
55,Female,Month-to-Month,96.59,37,8,73,1,1
29,Male,Two Year,112.63,13,5,174,5,1
41,Female,Two Year,55.2,36,8,36,4,1
45,Male,One Year,107.25,31,7,294,3,1
25,Male,Month-to-Month,56.3,2,7,157,3,0
45,Female,Month-to-Month,111.97,16,0,290,3,1
53,Female,Two Year,97.86,9,8,173,5,1
43,Male,Month-to-Month,102.44,9,5,233,3,1
25,Female,Month-to-Month,31.62,38,8,281,1,1
67,Male,Month-to-Month,116.65,11,2,155,3,1
45,Male,Two Year,95.4,54,2,39,4,1
45,Male,One Year,57.43,56,5,54,1,1
54,Male,One Year,104.65,22,8,284,3,1
58,Male,Month-to-Month,55.34,33,6,43,3,1
53,Female,One Year,108.55,36,2,150,2,1
44,Male,Two Year,40.13,45,2,230,5,0
34,Male,Two Year,93.33,23,1,31,1,1
26,Female,One Year,78.66,45,8,189,2,1
50,Male,One Year,38.69,45,2,240,4,1
37,Female,Month-to-Month,51.77,34,4,47,5,0
30,Female,One Year,31.12,9,8,79,1,0
45,Female,Month-to-Month,72.19,24,7,125,3,1
65,Male,Month-to-Month,57.11,8,1,248,1,1
46,Male,Two Year,83.85,7,2,157,3,1
30,Male,Two Year,56.75,36,1,18,5,1
63,Female,Two Year,56.99,18,7,297,3,1
52,Male,Two Year,96.89,3,5,59,4,1
23,Female,One Year,34.33,28,5,14,3,0
35,Male,Two Year,111.26,6,8,135,4,1
68,Female,One Year,106.7,44,7,84,5,1
22,Male,Two Year,90.1,44,3,174,5,1
64,Male,One Year,83.39,21,3,287,1,1
42,Male,Month-to-Month,110.31,28,8,299,4,1
19,Female,One Year,46.68,40,0,86,4,1
